1650674413.052107,undetermined
1650674413.163583,undetermined
1650674413.263584,undetermined
1650674413.36359,undetermined
1650674413.467127,undetermined
1650674413.727508,undetermined
1650674413.847442,undetermined
1650674413.9637911,undetermined
1650674414.070792,undetermined
1650674414.197288,undetermined
1650674414.299258,undetermined
1650674414.426353,undetermined
1650674414.5263538,undetermined
1650674414.626354,undetermined
1650674414.7263548,undetermined
1650674414.827081,undetermined
1650674414.927082,undetermined
1650674415.027083,undetermined
1650674415.131279,undetermined
1650674415.2321558,undetermined
1650674415.332156,undetermined
1650674415.433835,undetermined
1650674415.5338361,undetermined
1650674415.633837,undetermined
1650674415.7338371,undetermined
1650674415.833838,undetermined
1650674415.9338381,undetermined
1650674416.033839,undetermined
1650674416.1338391,undetermined
1650674416.2338402,undetermined
1650674416.3338408,undetermined
1650674416.4346838,undetermined
1650674416.534684,undetermined
1650674416.634685,undetermined
1650674416.734686,undetermined
1650674416.8346949,undetermined
1650674416.934695,undetermined
1650674417.0346959,fight_on
1650674417.134696,fight_on
1650674417.2346969,fight_on
1650674417.3348658,fight_on
1650674417.434866,fight_on
1650674417.534867,fight_on
1650674417.634868,fight_on
1650674417.734868,fight_on
1650674417.834869,fight_on
1650674417.934869,fight_on
1650674418.03487,fight_on
1650674418.154863,fight_on
1650674418.254864,fight_on
1650674418.3548841,fight_on
1650674418.454885,fight_on
1650674418.5548851,fight_on
1650674418.6548858,fight_on
1650674418.754886,fight_on
1650674418.854887,fight_on
1650674418.9548879,fight_on
1650674419.054888,fight_on
1650674419.1548889,fight_on
1650674419.254889,fight_on
1650674419.357009,fight_on
1650674419.457901,fight_on
1650674419.558366,fight_on
1650674419.658367,fight_on
1650674419.758367,fight_on
1650674419.858368,fight_on
1650674419.958368,fight_on
1650674420.058369,fight_on
1650674420.158369,fight_on
1650674420.2583702,fight_on
1650674420.358371,fight_on
1650674420.4583712,fight_on
1650674420.558372,fight_on
1650674420.6583722,fight_on
1650674420.758373,fight_on
1650674420.8583732,fight_on
1650674420.9583738,fight_on
1650674421.058374,fight_on
1650674421.158375,fight_on
1650674421.258376,fight_on
1650674421.358376,fight_on
1650674421.458377,fight_on
1650674421.558377,undetermined
1650674421.658378,undetermined
1650674421.758378,undetermined
1650674421.8583791,undetermined
1650674421.95838,undetermined
1650674422.0583801,undetermined
1650674422.158381,undetermined
1650674422.2583811,undetermined
1650674422.358382,undetermined
1650674422.4583821,undetermined
1650674422.558383,undetermined
1650674422.6583831,undetermined
1650674422.7583842,fist
1650674422.8583848,fist
1650674422.958385,fist
1650674423.0583858,fist
1650674423.158386,fist
1650674423.2583869,fist
1650674423.358387,fist
1650674423.4583879,fist
1650674423.558388,fist
1650674423.658389,fist
1650674423.75839,fist
1650674423.85839,fist
1650674423.958391,fist
1650674424.058391,fist
