time: 1635724961.628184, hand opened
time: 1635724998.458966, hand closed
time: 1635724998.781604, hand opened
time: 1635724999.756906, hand closed
time: 1635724999.925407, hand opened
time: 1635725000.651198, hand closed
time: 1635725000.829298, hand opened
time: 1635725004.914887, hand closed
time: 1635725005.010988, hand opened
time:1635999813.8064861,digit:4,change:None
time:1635999815.530389,digit:0,change:None
time:1635999815.530389,digit:1,change:None
time:1635999815.530389,digit:2,change:None
time:1635999815.530389,digit:3,change:None
time:1635999815.530389,digit:4,change:None
time:1635999816.371779,digit:0,change:True
time:1635999816.371779,digit:1,change:None
time:1635999816.371779,digit:2,change:None
time:1635999816.371779,digit:3,change:None
time:1635999816.371779,digit:4,change:None
time:1635999817.234655,digit:0,change:None
time:1635999817.234655,digit:1,change:None
time:1635999817.234655,digit:2,change:None
time:1635999817.234655,digit:3,change:None
time:1635999817.234655,digit:4,change:None
time:1635999818.06194,digit:0,change:True
time:1635999818.06194,digit:1,change:None
time:1635999818.06194,digit:2,change:None
time:1635999818.06194,digit:3,change:None
time:1635999818.06194,digit:4,change:None
time:1635999818.692737,digit:0,change:None
time:1635999818.692737,digit:1,change:None
time:1635999818.692737,digit:2,change:None
time:1635999818.692737,digit:3,change:None
time:1635999818.692737,digit:4,change:None
time:1635999819.458365,digit:0,change:None
time:1635999819.458365,digit:1,change:None
time:1635999819.458365,digit:2,change:None
time:1635999819.458365,digit:3,change:None
time:1635999819.458365,digit:4,change:True
time:1635999820.724891,digit:0,change:None
time:1635999820.724891,digit:1,change:None
time:1635999820.724891,digit:2,change:None
time:1635999820.724891,digit:3,change:None
time:1635999820.724891,digit:4,change:None
time:1635999821.769592,digit:0,change:None
time:1635999821.769592,digit:1,change:None
time:1635999821.769592,digit:2,change:None
time:1635999821.769592,digit:3,change:None
time:1635999821.769592,digit:4,change:True
time:1635999822.7636921,digit:0,change:None
time:1635999822.7636921,digit:1,change:None
time:1635999822.7636921,digit:2,change:None
time:1635999822.7636921,digit:3,change:None
time:1635999822.7636921,digit:4,change:None
time:1635999824.19529,digit:0,change:None
time:1635999824.19529,digit:1,change:True
time:1635999824.19529,digit:2,change:None
time:1635999824.19529,digit:3,change:None
time:1635999824.19529,digit:4,change:None
time:1635999825.435045,digit:0,change:None
time:1635999825.435045,digit:1,change:None
time:1635999825.435045,digit:2,change:None
time:1635999825.435045,digit:3,change:None
time:1635999825.435045,digit:4,change:None
time:1635999826.422038,digit:0,change:None
time:1635999826.422038,digit:1,change:True
time:1635999826.422038,digit:2,change:None
time:1635999826.422038,digit:3,change:None
